title,openstax_url,audileo_url,audio_license,text_license,has_audio_description
Psychology 2e,https://openstax.org/details/books/psychology-2e,https://audileo.com/openstax-psychology-2e-audiobook/,All Rights Reserved,CC-BY-4.0,yes
Anatomy & Physiology 2e,https://openstax.org/details/books/anatomy-and-physiology-2e,https://audileo.com/openstax-anatomy-physiology-2e-audiobook/,All Rights Reserved,CC-BY-4.0,yes
American Government 4e,https://openstax.org/details/books/american-government-4e,https://audileo.com/openstax-american-government-4e-audio-textbook/,All Rights Reserved,Creative Commons Attribution-NonCommercial-ShareAlike License v4.0,yes
American Government 3e,https://openstax.org/details/books/american-government-3e,https://audileo.com/openstax-american-government-3e-audiobook/,All Rights Reserved,CC-BY-4.0,yes
Introduction to Sociology 3e,https://openstax.org/details/books/introduction-sociology-3e,https://audileo.com/openstax-introduction-to-sociology-3e-audiobook/,All Rights Reserved,CC-BY-4.0,yes
Introduction to Business,https://openstax.org/details/books/business-ethics,https://audileo.com/openstax-introduction-to-business-audiobook/,All Rights Reserved,CC-BY-4.0,yes
Introduction to Political Science,https://openstax.org/details/books/introduction-political-science,https://audileo.com/openstax-introduction-to-political-science-audiobook/,All Rights Reserved,CC-BY-4.0,yes
Principles of Macroeconomics 3e,https://openstax.org/details/books/principles-macroeconomics-3e,https://audileo.com/openstax-principles-of-macroeconomics-3e-audiobook/,All Rights Reserved,CC-BY-4.0,yes
Astronomy 2e,https://openstax.org/details/books/astronomy-2e,https://audileo.com/openstax-astronomy-2e-audiobook/,All Rights Reserved,CC-BY-4.0,yes
Principles of Marketing,https://openstax.org/details/books/principles-marketing,https://audileo.com/openstax-principles-of-marketing-audiobook/,All Rights Reserved,CC-BY-4.0,yes
Concepts of Biology,https://openstax.org/details/books/concepts-biology,https://audileo.com/openstax-concepts-of-biology-audiobook/,All Rights Reserved,CC-BY-4.0,yes
Biology 2e,https://openstax.org/details/books/biology-2e,https://audileo.com/openstax-biology-2e-audiobook/,All Rights Reserved,CC-BY-4.0,yes
U.S. History,https://openstax.org/details/books/us-history,https://audileo.com/openstax-us-history-audiobook/,All Rights Reserved,CC-BY-4.0,yes
Business Ethics,https://openstax.org/details/books/business-ethics,https://audileo.com/openstax-business-ethics-audiobook/,All Rights Reserved,CC-BY-4.0,yes
